Index;Ofset;Difference
0,0.39656376962307177,0.1080939769744873;;
1,0.3842856525582417,0.03203725814819336;;
2,0.3901586885381964,0.0239408016204834;;
3,0.3916774396759393,0.030114173889160156;;
4,0.3883026169992698,0.02490091323852539;;
5,0.3867990745830568,0.01907181739807129;;
6,0.3981480334533911,0.018274784088134766;;
7,0.4132202576644457,0.01830601692199707;;
8,0.4212369307190996,0.03129982948303223;;
9,0.4362278446602998,0.018320083618164062;;
10,0.4422382412725755,0.018223285675048828;;
11,0.4336097429412385,0.018167972564697266;;
12,0.43200043343943767,0.018203020095825195;;
13,0.41297008023967496,0.01820683479309082;;
14,0.3995686579920078,0.018206119537353516;;
15,0.3623940721465614,0.018194913864135742;;
16,0.3561927545287692,0.018284082412719727;;
17,0.3527797710486246,0.018257856369018555;;
18,0.34903415248717856,0.018221139907836914;;
19,0.3364121959665436,0.01814889907836914;;
20,0.32239161928654525,0.018215179443359375;;
21,0.3105775285179549,0.018191814422607422;;
22,0.3096247288972972,0.0182950496673584;;
23,0.3323514320423775,0.018118858337402344;;
24,0.3450948550271933,0.018249988555908203;;
25,0.34020907933598465,0.018159151077270508;;
26,0.33228860974721897,0.018185138702392578;;
27,0.33169967419612817,0.018158912658691406;;
28,0.3082382927902539,0.018152952194213867;;
29,0.31185506966635945,0.018249988555908203;;
30,0.29062893976108234,0.018383026123046875;;
31,0.28294208023909656,0.018107891082763672;;
32,0.2498432505436856,0.018246889114379883;;
33,0.2982218486274245,0.018075942993164062;;
34,0.32286711858123374,0.018188953399658203;;
35,0.33421185569324546,0.018177032470703125;;
36,0.31896261719822616,0.018121957778930664;;
37,0.3167459159763038,0.01812911033630371;;
38,0.3126485325823085,0.0183560848236084;;
39,0.3000615627845361,0.018229961395263672;;
40,0.31243167291716856,0.01819896697998047;;
41,0.32580630447942294,0.018119096755981445;;
42,0.33767794595729306,0.018197059631347656;;
43,0.33723075418135057,0.018120288848876953;;
44,0.3366690477044517,0.01811504364013672;;
45,0.34004301603868897,0.018219709396362305;;
46,0.35042446329275234,0.018178939819335938;;
47,0.38303672583219145,0.018184900283813477;;
48,0.38222639436536576,0.018146991729736328;;
49,0.38234506714568195,0.01819586753845215;;
50,0.38134719994383987,0.01814103126525879;;
51,0.37336050292422407,0.01818680763244629;;
52,0.354816118316052,0.018229007720947266;;
53,0.3423073764169371,0.018242597579956055;;
54,0.34596275117673886,0.018096923828125;;
55,0.33892915831661985,0.018223047256469727;;
56,0.34040467391184603,0.018229007720947266;;
57,0.34946301381656075,0.018280744552612305;;
58,0.37222927426777774,0.018208026885986328;;
59,0.32530983601110935,0.018162965774536133;;
60,0.30294040357720153,0.018136978149414062;;
61,0.26690707840883166,0.018223047256469727;;
62,0.2613515166281974,0.01816105842590332;;
63,0.2614536700885969,0.018234968185424805;;
64,0.2598357327543935,0.0181887149810791;;
65,0.269019583927625,0.018218994140625;;
66,0.2725333065225452,0.018289804458618164;;
67,0.26931827448502926,0.01825714111328125;;
68,0.2576055060269197,0.01823115348815918;;
69,0.25866480975273576,0.01816415786743164;;
70,0.26464522205095936,0.018134117126464844;;
71,0.24102035535606559,0.01817488670349121;;
72,0.23375980720175152,0.018285036087036133;;
73,0.2465007359999666,0.018279314041137695;;
74,0.2339623758805066,0.018140792846679688;;
75,0.22112972029890207,0.01830601692199707;;
76,0.22899762745182523,0.018179893493652344;;
77,0.2310052084915299,0.018132925033569336;;
78,0.21914387668017704,0.018265962600708008;;
79,0.20051402896573967,0.01818990707397461;;
80,0.1855776365570665,0.018240928649902344;;
81,0.17821694974534294,0.018124103546142578;;
82,0.1687456090093782,0.018211841583251953;;
83,0.14701733882200996,0.018204927444458008;;
84,0.17277713659639252,0.01844191551208496;;
85,0.1851292491437117,0.018268108367919922;;
86,0.1872259714859481,0.0182039737701416;;
87,0.1695400309179775,0.018156766891479492;;
88,0.1598677469157387,0.018146038055419922;;
89,0.14250756264413017,0.01824474334716797;;
90,0.15365938429640164,0.0181732177734375;;
91,0.15939356876074948,0.018193721771240234;;
92,0.16571532057838637,0.01826310157775879;;
93,0.1808978643544908,0.01822209358215332;;
94,0.17287452662561062,0.018123149871826172;;
95,0.1772132320792303,0.018233060836791992;;
96,0.194620983608467,0.01819896697998047;;
97,0.1811192212814956,0.018201112747192383;;
98,0.16347125416723937,0.018139123916625977;;
99,0.17897747160071673,0.018238067626953125;;
100,0.17235636410488608,0.018204927444458008;;
101,0.1555355489870747,0.018149852752685547;;
102,0.16792384507093513,0.018296003341674805;;
103,0.16502991630144873,0.0182342529296875;;
104,0.17591562576332756,0.0181581974029541;;
105,0.18358445973274928,0.01820683479309082;;
106,0.18862365203034576,0.018191099166870117;;
107,0.1805781543394687,0.01816105842590332;;
108,0.18692918061264996,0.018219947814941406;;
109,0.21442788305473293,0.018249988555908203;;
110,0.24003785006249337,0.018107175827026367;;
111,0.24273749908554135,0.01828479766845703;;
112,0.23695372841161833,0.018144845962524414;;
113,0.2441025794110367,0.01822805404663086;;
114,0.2450472058102048,0.018201828002929688;;
115,0.2293552713700988,0.018264055252075195;;
116,0.24094594739659037,0.018117904663085938;;
117,0.24819273234585026,0.0182342529296875;;
118,0.25968615164283243,0.01813793182373047;;
119,0.2843487960880746,0.018173933029174805;;
120,0.31194641879843843,0.01824808120727539;;
121,0.33682986103257995,0.018173933029174805;;
122,0.29826661315751496,0.01816701889038086;;
123,0.2834462270950722,0.01820206642150879;;
124,0.2796471353723218,0.018182754516601562;;
125,0.3105985894575513,0.018191099166870117;;
126,0.30464872455142805,0.018152952194213867;;
127,0.31092460796650834,0.018147706985473633;;
128,0.3300167308243609,0.018202781677246094;;
129,0.32789459083481187,0.018208026885986328;;
130,0.3454487810867009,0.01821112632751465;;
131,0.3530564800281804,0.01819610595703125;;
132,0.3710381453994061,0.018237829208374023;;
133,0.3712109641113789,0.01813793182373047;;
134,0.384143688251602,0.018275022506713867;;
135,0.3758838748074791,0.018198013305664062;;
136,0.38100557874276875,0.01825404167175293;;
137,0.37783201249851567,0.01825094223022461;;
138,0.38161156942622737,0.018218040466308594;;
139,0.3760863122686524,0.01825690269470215;;
140,0.36552129374975817,0.018308162689208984;;
141,0.35843878447772015,0.018236160278320312;;
142,0.34191816176179785,0.018232107162475586;;
143,0.34213082741630624,0.01830005645751953;;
144,0.3435569131209132,0.01814889907836914;;
145,0.3577280394206581,0.01816415786743164;;
146,0.34928075134977016,0.018280029296875;;
147,0.3370606354342226,0.01818704605102539;;
148,0.3276736411982246,0.01806497573852539;;
149,0.3416036253452445,0.01812005043029785;;
150,0.3297707778340706,0.018100976943969727;;
151,0.3227038422357193,0.018229961395263672;;
152,0.29808326953009057,0.018156051635742188;;
153,0.31089250158501425,0.01813673973083496;;
154,0.31234225266064913,0.01802992820739746;;
155,0.30643144110935916,0.018263816833496094;;
156,0.3048125008260173,0.01815199851989746;;
157,0.31373814632829,0.018120288848876953;;
158,0.31218060739875575,0.01822495460510254;;
159,0.2681277382603719,0.018233060836791992;;
160,0.2915364647916244,0.018229961395263672;;
161,0.28748010440529115,0.018207788467407227;;
