Index,offset,difference
0,0.1421,0.1438901424407959
1,0.1311,0.7383391857147217
2,0.1308,0.05464673042297363
3,0.1342,0.061163902282714844
4,0.1380,0.050080060958862305
5,0.1443,0.04455900192260742
6,0.1492,0.04477119445800781
7,0.1467,0.045538902282714844
8,0.1489,0.04260396957397461
9,0.1520,0.059721946716308594
10,0.1479,0.04231405258178711
11,0.1516,0.042610883712768555
12,0.1412,0.04210710525512695
13,0.1419,0.04165315628051758
14,0.1513,0.04319882392883301
15,0.1573,0.04210615158081055
16,0.1577,0.04603981971740723
17,0.1564,0.0431981086730957
18,0.1552,0.042768001556396484
19,0.1548,0.04198503494262695
20,0.1566,0.04246878623962402
21,0.1515,0.04198098182678223
22,0.1459,0.04387402534484863
23,0.1489,0.04276585578918457
24,0.1455,0.04434776306152344
25,0.1432,0.04219388961791992
26,0.1408,0.04385113716125488
27,0.1538,0.042307138442993164
28,0.1584,0.04349112510681152
29,0.1607,0.042205095291137695
30,0.1534,0.04528212547302246
31,0.1499,0.04202604293823242
32,0.1385,0.043257951736450195
33,0.1302,0.04304909706115723
34,0.1447,0.04207301139831543
35,0.1558,0.04264402389526367
36,0.1502,0.04217123985290527
37,0.1505,0.04309391975402832
38,0.1469,0.04175877571105957
39,0.1489,0.042938947677612305
40,0.1549,0.0426938533782959
41,0.1581,0.041922807693481445
42,0.1533,0.044158935546875
43,0.1570,0.04205894470214844
44,0.1653,0.042429208755493164
45,0.1773,0.042633056640625
46,0.1751,0.04381418228149414
47,0.1811,0.044862985610961914
48,0.1714,0.043565988540649414
49,0.1629,0.04453396797180176
50,0.1589,0.04288125038146973
51,0.1620,0.04255485534667969
52,0.1593,0.04349112510681152
53,0.1464,0.042356252670288086
54,0.1324,0.04323720932006836
55,0.1145,0.04516100883483887
56,0.1028,0.0434269905090332
57,0.0998,0.04271721839904785
58,0.0989,0.04242205619812012
59,0.1017,0.04423809051513672
60,0.1087,0.04333686828613281
61,0.1105,0.04244804382324219
62,0.1093,0.0434420108795166
63,0.1082,0.04329180717468262
64,0.1071,0.04372096061706543
65,0.0909,0.04730701446533203
66,0.0914,0.045324087142944336
67,0.0933,0.04396319389343262
68,0.0976,0.04515480995178223
69,0.0969,0.04505133628845215
70,0.0915,0.04526400566101074
71,0.0956,0.04590797424316406
72,0.1001,0.04543590545654297
73,0.1071,0.04594588279724121
74,0.1108,0.04436469078063965
75,0.1152,0.04357767105102539
76,0.1236,0.04445171356201172
77,0.1317,0.04308199882507324
78,0.1395,0.04367208480834961
79,0.1457,0.04397106170654297
80,0.1469,0.043770790100097656
81,0.1525,0.043025970458984375
82,0.1590,0.04292917251586914
83,0.1618,0.04429888725280762
84,0.1637,0.04362297058105469
85,0.1510,0.04346799850463867
86,0.1546,0.04278922080993652
87,0.1403,0.04375600814819336
88,0.1296,0.044798851013183594
89,0.1293,0.04308509826660156
90,0.1320,0.04354405403137207
91,0.1263,0.0438840389251709
92,0.1213,0.04348611831665039
93,0.1209,0.04355192184448242
94,0.1291,0.044148921966552734
95,0.1281,0.04358816146850586
96,0.1339,0.0445399284362793
97,0.1342,0.047518253326416016
98,0.1412,0.0438079833984375
99,0.1363,0.04491901397705078
100,0.1420,0.044097900390625
101,0.1417,0.0440058708190918
102,0.1410,0.04391312599182129
103,0.1340,0.04432988166809082
104,0.1320,0.04613995552062988
105,0.1283,0.046221017837524414
106,0.1251,0.0453488826751709
107,0.1148,0.04389786720275879
108,0.1163,0.04653334617614746
109,0.1224,0.04635286331176758
110,0.1290,0.04399394989013672
111,0.1243,0.044133901596069336
112,0.1157,0.044712066650390625
113,0.1096,0.047122955322265625
114,0.1094,0.04377484321594238
115,0.1082,0.045465707778930664
116,0.1116,0.046357154846191406
117,0.1031,0.045558929443359375
118,0.0985,0.04618024826049805
119,0.0975,0.04459714889526367
120,0.0857,0.04532885551452637
121,0.0720,0.047179222106933594
122,0.0607,0.045536041259765625
123,0.0457,0.044960975646972656
124,0.0280,0.04599499702453613
125,0.0186,0.04586291313171387
126,0.0017,0.045387983322143555
127,0.0036,0.0462651252746582
128,0.0079,0.04563617706298828
129,0.0079,0.04596710205078125
130,0.0089,0.04697704315185547
131,0.0143,0.046788930892944336
132,0.0311,0.04674577713012695
133,0.0478,0.047224998474121094
134,0.0551,0.04628396034240723
135,0.0548,0.04674410820007324
136,0.0577,0.04715418815612793
137,0.0538,0.04742026329040527
138,0.0480,0.05004692077636719
139,0.0482,0.049226999282836914
140,0.0516,0.048081159591674805
141,0.0511,0.04866790771484375
142,0.0501,0.04816579818725586
143,0.0561,0.048605918884277344
144,0.0421,0.04765915870666504
145,0.0438,0.04731106758117676
146,0.0335,0.048951148986816406
147,0.0212,0.048597097396850586
148,0.0154,0.04885697364807129
149,0.0185,0.04746580123901367
150,0.0002,0.047204017639160156
151,0.0101,0.04835200309753418
152,0.0000,0.04716205596923828
153,0.0070,0.04840803146362305
154,0.0246,0.048951148986816406
155,0.0184,0.04880785942077637
156,0.0046,0.04882502555847168
157,0.0056,0.048252105712890625
158,0.0076,0.04879879951477051
159,0.0091,0.04863405227661133
160,0.0001,0.05024909973144531
161,0.0010,0.04882192611694336
162,0.0030,0.04892396926879883
163,0.0152,0.04839515686035156
164,0.0186,0.04878377914428711
165,0.0126,0.049134016036987305
166,0.0157,0.04806804656982422
167,0.0234,0.0489048957824707
168,0.0258,0.04804873466491699
169,0.0426,0.04859185218811035
170,0.0626,0.04845690727233887
171,0.0713,0.04803895950317383
172,0.0757,0.049139976501464844
173,0.0807,0.04780220985412598
174,0.0683,0.04792594909667969
175,0.0700,0.04847407341003418
176,0.0731,0.048181772232055664
177,0.0892,0.04844474792480469
178,0.0965,0.047731876373291016
179,0.1083,0.04937314987182617
180,0.0883,0.04843330383300781
181,0.0905,0.048676252365112305
182,0.1096,0.04816079139709473
183,0.1189,0.04877591133117676
184,0.1322,0.04870104789733887
185,0.1521,0.049070119857788086
186,0.1600,0.04900932312011719
187,0.1614,0.04987692832946777
188,0.1730,0.04999184608459473
189,0.1968,0.04936504364013672
190,0.2003,0.04925179481506348
191,0.2264,0.04918074607849121
192,0.2518,0.04908609390258789
193,0.2636,0.05064797401428223
194,0.2570,0.05017995834350586
195,0.2409,0.05056905746459961
196,0.2228,0.050688743591308594
197,0.2160,0.05258512496948242
198,0.1959,0.05077195167541504
199,0.1928,0.0508270263671875
200,0.1769,0.05259108543395996
201,0.1572,0.05103468894958496
202,0.1300,0.05194497108459473
203,0.1138,0.052336931228637695
204,0.0836,0.052243947982788086
205,0.0844,0.055090904235839844
206,0.0340,0.05241107940673828
207,0.0075,0.0533750057220459
208,0.0476,0.05313420295715332
209,0.1144,0.05243396759033203
210,0.2243,0.05312705039978027
211,0.4932,0.0530698299407959
212,0.9587,0.053179025650024414
213,1.2797,0.054177045822143555
214,1.3958,0.054241180419921875
215,1.4326,0.05365896224975586
216,1.4635,0.05546092987060547
217,1.4686,0.05385875701904297
218,1.5013,0.05386805534362793
219,1.5070,0.05446004867553711
220,1.5253,0.05432009696960449
221,1.5148,0.05568122863769531
222,1.5079,0.05488109588623047
223,1.5096,0.05571413040161133
224,1.5267,0.054910898208618164
225,1.5205,0.05670595169067383
226,1.5483,0.055138587951660156
227,1.5651,0.056054115295410156
228,1.5607,0.055612802505493164
229,1.5414,0.055265188217163086
230,1.5335,0.055040836334228516
231,1.5339,0.05655384063720703
232,1.5459,0.05548596382141113
233,1.5335,0.05539679527282715
234,1.5467,0.055665016174316406
235,1.5558,0.05691719055175781
236,1.5676,0.05785179138183594
237,1.5453,0.05852079391479492
238,1.5669,0.058357954025268555
239,1.5863,0.057520151138305664
240,1.5804,0.05788278579711914
241,1.5721,0.05869603157043457
242,1.5759,0.05709218978881836
243,1.5569,0.0577847957611084
244,1.5551,0.05847883224487305
245,1.5572,0.05850529670715332
246,1.5837,0.05785226821899414
247,1.5926,0.06029915809631348
248,1.5737,0.059123992919921875
249,1.5423,0.05886530876159668
250,1.5477,0.05869793891906738
251,1.5431,0.05914187431335449
252,1.5347,0.06178689002990723
253,1.5433,0.059857845306396484
254,1.5620,0.05861401557922363
255,1.5542,0.059342145919799805
256,1.5539,0.059342145919799805
257,1.5657,0.0597841739654541
258,1.6029,0.06029820442199707
259,1.6146,0.05956244468688965
260,1.5922,0.0590970516204834
261,1.5941,0.059728145599365234
262,1.5796,0.05955934524536133
263,1.5441,0.059967041015625
264,1.5310,0.05957293510437012
265,1.5206,0.059617042541503906
266,1.5578,0.05933809280395508
267,1.5607,0.061582088470458984
268,1.5573,0.06003212928771973
269,1.5164,0.05935096740722656
270,1.5507,0.05841517448425293
271,1.5570,0.059889793395996094
272,1.5585,0.05934619903564453
273,1.5472,0.05943703651428223
274,1.5293,0.058197021484375
275,1.5581,0.05762910842895508
276,1.5686,0.05815410614013672
277,1.5915,0.05877399444580078
278,1.5701,0.05781388282775879
279,1.5066,0.05718088150024414
280,1.3671,0.05931997299194336
281,1.2785,0.053025007247924805
282,0.9716,0.058098793029785156
283,0.7886,0.05941915512084961
284,0.6318,0.05758810043334961
285,0.5302,0.05767989158630371
286,0.5166,0.05746936798095703
287,0.5189,0.058026790618896484
288,0.4947,0.057518959045410156
289,0.4173,0.048014163970947266
290,0.3493,0.05639910697937012
291,0.3032,0.056967973709106445
292,0.2610,0.05956673622131348
293,0.2051,0.05668902397155762
294,0.1647,0.05416393280029297
295,0.1007,0.05528092384338379
296,0.0614,0.05526304244995117
297,0.0298,0.05556082725524902
298,0.1147,0.0520172119140625
299,0.1531,0.052980899810791016
300,0.2013,0.05192399024963379
301,0.2162,0.05137491226196289
302,0.1675,0.04959988594055176
303,0.1103,0.0498809814453125
304,0.0406,0.05059313774108887
305,0.0846,0.04545307159423828
306,0.1449,0.044284820556640625
307,0.1495,0.04359865188598633
308,0.1046,0.04507279396057129
309,0.0738,0.03959822654724121
310,0.0254,0.04038882255554199
311,0.0374,0.04089999198913574
312,0.0537,0.04077005386352539
313,0.1213,0.039298057556152344
314,0.2352,0.03936409950256348
315,0.3318,0.039608001708984375
316,0.3979,0.03913307189941406
317,0.2339,0.039114952087402344
318,0.1300,0.03949904441833496
319,0.1191,0.03941202163696289
320,0.0714,0.039048194885253906
321,0.1083,0.043656349182128906
322,0.0844,0.04570579528808594
323,0.0676,0.04649090766906738
324,0.0143,0.047863006591796875
325,0.0156,0.04100203514099121
326,0.0598,0.041101932525634766
327,0.1736,0.04137110710144043
328,0.2461,0.0429997444152832
329,0.2370,0.042443037033081055
330,0.0910,0.0436100959777832
331,0.2735,0.04519081115722656
332,0.8481,0.044206857681274414
333,0.9864,0.0458831787109375
334,0.8733,0.045165061950683594
335,0.7557,0.0452120304107666
336,0.6305,0.04643988609313965
337,0.4925,0.047451019287109375
338,0.3780,0.04688692092895508
339,0.2798,0.04747891426086426
340,0.2219,0.04845905303955078
341,0.1964,0.04696202278137207
342,0.1141,0.04709792137145996
343,0.0362,0.04672694206237793
344,0.0156,0.04746699333190918
345,0.0022,0.04766273498535156
346,0.0064,0.04749798774719238
347,0.0098,0.04808497428894043
348,0.0159,0.047258853912353516
349,0.0235,0.04698324203491211
350,0.0301,0.04663896560668945
351,0.0380,0.04731440544128418
352,0.0379,0.04692411422729492
353,0.0388,0.04688215255737305
354,0.0449,0.046569108963012695
355,0.0493,0.04654407501220703
356,0.0479,0.046087026596069336
357,0.0479,0.04758286476135254
358,0.0486,0.046759843826293945
359,0.0530,0.04778409004211426
360,0.0517,0.04815101623535156
361,0.0548,0.047341108322143555
362,0.0607,0.047887325286865234
363,0.0674,0.046772003173828125
364,0.0774,0.04847884178161621
365,0.0817,0.04785490036010742
366,0.0937,0.047884225845336914
367,0.0990,0.04786491394042969
368,0.1088,0.04903388023376465
369,0.1110,0.04848790168762207
370,0.1209,0.046468257904052734
371,0.1320,0.04792904853820801
372,0.1425,0.04690098762512207
373,0.1535,0.04899024963378906
374,0.1606,0.04633283615112305
375,0.1643,0.04641008377075195
376,0.1696,0.04655575752258301
377,0.1722,0.046637773513793945
378,0.1766,0.04644584655761719
379,0.1770,0.0462801456451416
380,0.1785,0.04703092575073242
381,0.1799,0.046935081481933594
382,0.1820,0.0461118221282959
383,0.1796,0.04691815376281738
384,0.1749,0.04801321029663086
385,0.1764,0.046684980392456055
386,0.1751,0.046623945236206055
387,0.1702,0.04738879203796387
388,0.1733,0.0460050106048584
389,0.1734,0.04705476760864258
390,0.1724,0.04804086685180664
391,0.1737,0.04861116409301758
392,0.1781,0.04660201072692871
393,0.1814,0.047094106674194336
394,0.1887,0.046762943267822266
395,0.1880,0.04698300361633301
396,0.1884,0.04665994644165039
397,0.1857,0.04665088653564453
398,0.1884,0.04736900329589844
399,0.1879,0.047209978103637695
400,0.1895,0.04703712463378906
401,0.1893,0.047077178955078125
402,0.1912,0.04713296890258789
403,0.1927,0.048548221588134766
404,0.1940,0.04622387886047363
405,0.1958,0.047070980072021484
406,0.1966,0.047013044357299805
407,0.2004,0.04717588424682617
408,0.2029,0.046270132064819336
409,0.1992,0.04731178283691406
410,0.1998,0.0470731258392334
411,0.2019,0.047801971435546875
412,0.1967,0.04690408706665039
413,0.1859,0.04668092727661133
414,0.1842,0.0464329719543457
415,0.1752,0.047261953353881836
416,0.1765,0.04673004150390625
417,0.1765,0.04658627510070801
418,0.1730,0.04593086242675781
419,0.1747,0.04797816276550293
420,0.1753,0.0466310977935791
421,0.1741,0.046041011810302734
422,0.1704,0.04704999923706055
423,0.1671,0.046820878982543945
424,0.1631,0.04591012001037598
425,0.1638,0.04681086540222168
426,0.1678,0.047821044921875
427,0.1613,0.04560399055480957
428,0.1631,0.04571700096130371
429,0.1651,0.04667782783508301
430,0.1646,0.04620003700256348
431,0.1638,0.044937849044799805
432,0.1655,0.04364800453186035
433,0.1705,0.045007944107055664
434,0.1665,0.044840097427368164
435,0.1643,0.04492902755737305
436,0.1647,0.04517006874084473
437,0.1637,0.04425406455993652
438,0.1576,0.04434609413146973
439,0.1575,0.04418373107910156
440,0.1482,0.043762922286987305
441,0.1468,0.0436248779296875
442,0.1454,0.04510617256164551
443,0.1419,0.04409909248352051
444,0.1342,0.04308915138244629
445,0.1339,0.04392194747924805
446,0.1326,0.04415106773376465
447,0.1245,0.04413104057312012
448,0.1261,0.042366981506347656
449,0.1219,0.045905351638793945
450,0.1124,0.04231905937194824
451,0.1132,0.04284524917602539
452,0.1152,0.04156970977783203
453,0.1113,0.041869163513183594
454,0.1084,0.04387998580932617
455,0.1092,0.04092001914978027
456,0.1025,0.04245781898498535
457,0.0083,0.040795087814331055
458,0.1104,0.040902137756347656
459,0.0942,0.04134702682495117
460,0.0499,0.04103684425354004
461,0.0423,0.040815114974975586
462,0.0878,0.041639089584350586
463,0.0975,0.04169297218322754
464,0.0953,0.042289018630981445
465,0.0868,0.042176008224487305
466,0.0835,0.042220115661621094
467,0.0800,0.04241299629211426
468,0.0823,0.042665958404541016
469,0.0745,0.04159879684448242
470,0.0679,0.04192996025085449
471,0.0633,0.040949106216430664
472,0.0517,0.04184222221374512
473,0.0287,0.04134202003479004
474,0.1509,0.041120052337646484
475,0.1331,0.04129171371459961
476,0.0663,0.04091477394104004
477,0.0337,0.04185891151428223
478,0.0712,0.04311800003051758
479,0.0320,0.041867971420288086
480,0.0227,0.04424786567687988
481,0.0403,0.04199385643005371
482,0.0476,0.04330897331237793
483,0.0362,0.04260706901550293
484,0.0397,0.042410850524902344
485,0.0472,0.04246091842651367
486,0.0401,0.0415191650390625
487,0.0418,0.04118800163269043
488,0.0387,0.04147195816040039
489,0.0383,0.04236888885498047
490,0.0373,0.040756940841674805
491,0.1136,0.041116952896118164
492,0.1776,0.04104185104370117
493,0.1437,0.04149508476257324
494,0.1239,0.04190516471862793
495,0.0916,0.04153609275817871
496,0.0408,0.041831016540527344
497,0.0187,0.04204535484313965
498,0.0118,0.04211616516113281
499,0.0063,0.04251813888549805
500,0.0207,0.043437957763671875
501,0.0448,0.0430750846862793
502,0.0466,0.04331517219543457
503,0.0609,0.041374921798706055
504,0.0610,0.042672157287597656
505,0.0645,0.041463613510131836
506,0.0714,0.04084897041320801
507,0.0723,0.04071497917175293
508,0.0316,0.04163980484008789
509,0.0009,0.04112100601196289
510,0.0164,0.04103493690490723
511,0.1449,0.0412600040435791
512,0.1163,0.04212808609008789
513,0.0792,0.041487932205200195
514,0.0707,0.04313373565673828
515,0.0886,0.042227983474731445
516,0.0783,0.04251885414123535
517,0.0814,0.042402029037475586
518,0.0844,0.04373908042907715
519,0.0782,0.042185068130493164
520,0.0816,0.04237008094787598
521,0.0713,0.04157209396362305
522,0.0692,0.041603803634643555
523,0.0612,0.04117107391357422
524,0.0384,0.04114699363708496
525,0.0681,0.04084920883178711
526,0.0746,0.041593074798583984
527,0.0576,0.042047977447509766
528,0.0648,0.041676998138427734
529,0.0612,0.041676998138427734
